MONTH;ECO_COD;VALUE
Feb.23;245F000000634;-62122.69
Feb.23;2488000000544;-22898.36
Feb.23;245B000000490;-14919.56
Feb.23;245H000000490;-12522.11
Feb.23;245A000000491;-9516.00
Feb.23;245B000000640;-8754.72
Feb.23;245C000000490;-5416.24
Feb.23;245A000000490;-4440.80
Feb.23;245D000000640;-533.00
Feb.23;245B000000636;-391.62
Feb.23;24A4000000010;-62.22
Feb.23;24JM000000500;171592.74
Mar.23;245B000000490;-126881.66
Mar.23;245F000000634;-102081.81
Mar.23;24JM000000490;-51237.31
Mar.23;2488000000544;-28436.72
Mar.23;245H000000490;-13263.88
Mar.23;245A000000492;-12688.00
Mar.23;245C000000490;-11844.40
Mar.23;245B000000491;-5244.83
Mar.23;245D000000640;-4749.40
Mar.23;245A000000490;-4440.80
Mar.23;2488000000640;-3045.09
Mar.23;245B000000636;-378.20
Mar.23;245B000001640;-244.00
Mar.23;24A4000000010;-68.89
Mar.23;24JM000000039;12688.00
Mar.23;24JM000000500;47446.31
Apr.23;245F000000634;-96769.29
Apr.23;245E000000490;-47275.00
Apr.23;245B000000490;-26513.40
Apr.23;2488000000544;-22597.98
Apr.23;245H000000490;-13329.28
Apr.23;245C000000490;-10490.97
Apr.23;245A000000490;-4440.80
Apr.23;245F000002930;-4372.27
Apr.23;245D000000640;-600.00
Apr.23;24A4000000010;-65.93
Apr.23;245B000000636;-48.80
Mag.23;245F000000634;-113901.63
Mag.23;245B000000490;-54901.20
Mag.23;24JM000000490;-52659.70
Mag.23;2488000000544;-27619.95
Mag.23;245H000000490;-13489.29
Mag.23;245E000000490;-7665.56
Mag.23;245A000000490;-7418.12
Mag.23;245C000000490;-5909.28
Mag.23;245D000000640;-3375.50
Mag.23;245B000000636;-1085.50
Mag.23;24A4000000010;-68.13
Mag.23;2488000000640;237.45
Mag.23;245F000000640;1506.44
Mag.23;24JM000000500;52659.70
Giu.23;245F000000634;-156669.93
Giu.23;245B000000490;-33505.31
Giu.23;2488000000544;-23527.34
Giu.23;245H000000490;-17793.30
Giu.23;245B000000491;-14288.88
Giu.23;24JM000000490;-13331.00
Giu.23;245C000000490;-11984.61
Giu.23;245A000000490;-8372.09
Giu.23;2488000000640;-1563.96
Giu.23;245B000000636;-455.47
Giu.23;245F000002930;-200.63
Giu.23;24A4000000010;-65.93
Giu.23;245D000000640;-60.39
Giu.23;245F000000640;97.60
Giu.23;245B000000640;697.84
Giu.23;24JM000000500;13331.00
Lug.23;245F000000634;-136500.91
Lug.23;245B000000490;-89446.00
Lug.23;245H000000490;-31538.83
Lug.23;2488000000544;-25201.36
Lug.23;24JM000000490;-21102.96
Lug.23;245C000000490;-17053.96
Lug.23;245A000000490;-6255.19
Lug.23;2488000000640;-523.56
Lug.23;24A4000000010;-202.17
Lug.23;24D5000000220;1459.12
Lug.23;24JM000000500;21102.96
Ago.23;245F000000634;-60500.30
Ago.23;2488000000544;-26530.65
Ago.23;245H000000490;-13238.83
Ago.23;245C000000490;-10249.10
Ago.23;245B000000490;-9225.55
Ago.23;245D000000640;-8679.29
Ago.23;245A000000490;-6255.19
Ago.23;245F000002930;-348.75
Ago.23;24A4000000010;-202.17
Set.23;245B000000490;-193222.17
Set.23;245F000000634;-108287.06
Set.23;2488000000544;-29355.06
Set.23;24JM000000490;-22739.98
Set.23;245F000002930;-22251.94
Set.23;245B000000491;-17578.38
Set.23;245H000000490;-13086.90
Set.23;245C000000490;-7525.60
Set.23;245A000000490;-7301.95
Set.23;245A000000492;-6344.00
Set.23;24A4000000010;-245.65
Set.23;245F000000640;143.47
Set.23;24JM000000039;15860.00
Set.23;24JM000000500;22739.98
Ott.23;245F000000634;-66829.67
Ott.23;2488000000544;-31108.87
Ott.23;245C000000490;-13586.22
Ott.23;245H000000490;-13234.61
Ott.23;245A000000490;-7016.16
Ott.23;24JM000000490;-5271.75
Ott.23;245B000000490;-4108.36
Ott.23;245D000000640;-378.55
Ott.23;24A4000000010;-101.09
Ott.23;24JM000000500;6571.76
Nov.23;245F000000634;-123518.17
Nov.23;245B000000490;-26966.93
Nov.23;2488000000544;-24414.77
Nov.23;24JM000000490;-7130.45
Nov.23;245A000000490;-7016.16
Nov.23;245F000002930;-6683.31
Nov.23;245C000000490;-5086.73
Nov.23;245H000000490;-4557.90
Nov.23;24A4000000010;-97.83
Nov.23;24JM000000500;7130.45
Dic.23;245F000000634;-250137.50
Dic.23;245F000002930;-101626.57
Dic.23;245B000000490;-62294.84
Dic.23;2488000000544;-45850.12
Dic.23;24JM000000490;-17558.66
Dic.23;245H000000490;-16382.79
Dic.23;245B000000491;-7660.55
