MONTH;DRV_COD;VALUE
Mar.24;Oneri spese legali al netto degli accantomenti;9331.02
Apr.24;Oneri spese legali al netto degli accantomenti;146208.60
Mag.24;Oneri spese legali al netto degli accantomenti;-1121.60
Giu.24;Oneri spese legali al netto degli accantomenti;1873.63
Lug.24;Oneri spese legali al netto degli accantomenti;-16063.63
Ago.24;Oneri spese legali al netto degli accantomenti;2028.00
Set.24;Oneri spese legali al netto degli accantomenti;-14499.94
Ott.24;Oneri spese legali al netto degli accantomenti;9820.00
Nov.24;Oneri spese legali al netto degli accantomenti;16789.74
Dic.24;Oneri spese legali al netto degli accantomenti;-1014.56
Feb.25;Oneri spese legali al netto degli accantomenti;-920.00
Mar.25;Oneri spese legali al netto degli accantomenti;-21334.59
Apr.25;Oneri spese legali al netto degli accantomenti;-1904.00
Giu.25;Oneri spese legali al netto degli accantomenti;-138586.48
Lug.25;Oneri spese legali al netto degli accantomenti;6500.00
Set.25;Oneri spese legali al netto degli accantomenti;-2006.48
Ott.25;Oneri spese legali al netto degli accantomenti;1200.00
Gen.20;Accantonato del mese _ nuovi oneri;30000.00
Feb.20;Accantonato del mese _ nuovi oneri;40000.00
Mag.20;Accantonato del mese _ nuovi oneri;43217.00
Giu.20;Accantonato del mese _ nuovi oneri;7500.00
Lug.20;Accantonato del mese _ nuovi oneri;112700.00
Set.20;Accantonato del mese _ nuovi oneri;130000.00
Gen.21;Accantonato del mese _ nuovi oneri;0.00
Feb.21;Accantonato del mese _ nuovi oneri;0.00
Mar.21;Accantonato del mese _ nuovi oneri;13200.00
Apr.21;Accantonato del mese _ nuovi oneri;0.00
Mag.21;Accantonato del mese _ nuovi oneri;0.00
Giu.21;Accantonato del mese _ nuovi oneri;0.00
Lug.21;Accantonato del mese _ nuovi oneri;3000.00
Apr.22;Accantonato del mese _ nuovi oneri;4520.00
Dic.22;Accantonato del mese _ nuovi oneri;30000.00
Gen.21;Intervento consulenti esterni gestione atti liti fiscali;0.00
Feb.21;Intervento consulenti esterni gestione atti liti fiscali;0.00
Mar.21;Intervento consulenti esterni gestione atti liti fiscali;0.00
Apr.21;Intervento consulenti esterni gestione atti liti fiscali;0.00
Mag.21;Intervento consulenti esterni gestione atti liti fiscali;1.00
Giu.21;Intervento consulenti esterni gestione atti liti fiscali;0.00
Lug.21;Intervento consulenti esterni gestione atti liti fiscali;2.00
Ago.21;Intervento consulenti esterni gestione atti liti fiscali;0.00
Set.21;Intervento consulenti esterni gestione atti liti fiscali;0.00
