MONTH;ECO_COD;VALUE
Lug.20;245B000000611;-893.8712453947087
Lug.20;245F000002930;-164.7
Lug.20;2488000000640;-2768.0559242937725
Lug.20;245B000000491;-3381.5449808854246
Lug.20;245F000000611;20570.91357791976
Lug.20;245F000000634;-132934.37
Lug.20;24A0000000017;-5638.371226743961
Lug.20;245C000000640;-1077.2035738343975
Lug.20;245B000000636;-148.79
Lug.20;2488000000611;4467.304675491395
Ago.20;245B000000640;-682.9333130470318
Ago.20;2488000002930;-783.1646177342426
Ago.20;245C000000490;-2058.27
Ago.20;245B000000490;-23179.74
Ago.20;24JM000000039;16280.247406408602
Ago.20;2455000000490;-931.4801780811578
Ago.20;245F000000640;4915.834557796836
Ago.20;245B000000611;-1250.2773821078163
Ago.20;2488000000611;6696.296661879799
Ago.20;245A000000493;-5825.280115199336
Ago.20;2488000000640;-2681.7975301244933
Ago.20;245A000000490;-6268.49
Ago.20;245B000000491;-4106.9679496116805
Ago.20;245B000000636;-812.52
Ago.20;24JM000000500;29294.545115902143
Ago.20;24A4000000010;-235.87
Ago.20;245E000000490;-27682.91
Ago.20;245F000000634;-29412.68
Ago.20;2488000000544;-24003.62
Ago.20;24A0000000017;-5433.122983708374
Ago.20;245F000000611;23901.67383681261
Ago.20;245H000000490;-1843.73
Ago.20;245A000000492;-4270.0
Ago.20;245C000000640;-1070.0298886625444
Ago.20;245F000002930;-936.65
Ago.20;245A000000491;-6803.846588709395
Ago.20;24JM000000050;2712.6
Ago.20;245D000000640;-2306.7108005773266
Ago.20;24JM000000490;-8712.6
Set.20;245F000000640;8221.764819519902
Set.20;245A000000492;-6468.116479061791
Set.20;245B000000490;-45047.77
Set.20;245C000000490;-208.2
Set.20;24JM000000500;18132.57
Set.20;245C000000640;-1060.3414673333623
Set.20;245A000000490;-13293.65
Set.20;24A4000000010;-228.26
Set.20;24JM000000050;3764.291983205038
Set.20;2488000000611;9394.773424387116
Set.20;24JM000000039;3120.306243662487
Set.20;245B000000640;-753.1951341949894
Set.20;2488000000544;-81243.49
Set.20;245E000000490;-17291.50138202531
Set.20;245A000000491;-6753.013239792876
Set.20;245A000000493;-5490.0
Set.20;245B000000636;-97.6
Set.20;24JM000000490;-17298.57
Set.20;2488000000640;-2565.3012460152236
Set.20;245B000000611;-1751.7884277177893
Set.20;245F000002930;-308.57
Set.20;245H000000490;-1784.25
Set.20;2455000000490;-1032.3414341693353
Set.20;245D000000640;-463.6
Set.20;245B000000491;-5089.923071062161
Set.20;245F000000634;-183462.7
Set.20;24A0000000017;-5155.924945607681
Set.20;2488000002930;-626.8834471526129
Set.20;245F000000611;29640.9993207339
Ott.20;245A000000493;-6941.2487392788225
Ott.20;245D000000640;-2720.3705631584035
Ott.20;2488000000544;-43648.74
Ott.20;245A000000491;-6750.742744354527
Ott.20;2455000000490;-1050.7928780833834
Ott.20;2488000002930;-598.323251282959
Ott.20;245E000000490;-17346.38331805276
Ott.20;245B000000640;-766.0352540060719
Ott.20;245B000000636;-536.8
Ott.20;2488000000640;-2544.0118633223874
Ott.20;24A0000000017;-5105.267749458034
Ott.20;24A4000000010;-233.5024192376687
Ott.20;24JM000000050;3876.9122998959865
Ott.20;245A000000490;-6340.49
Ott.20;245B000000491;-5269.296401032627
Ott.20;245F000002930;-8601.387008468892
Ott.20;24JM000000500;2140.4
Ott.20;245F000000611;30651.645948092555
Ott.20;245F000000634;-192995.77
Ott.20;2488000000611;10038.414493659393
Ott.20;245B000000611;-1802.4949159782861
Ott.20;245B000000490;-9653.85
Ott.20;245C000000640;-1058.570934385093
Ott.20;245F000000640;8825.914686188298
Ott.20;24JM000000490;-2140.4
Ott.20;245C000000490;-1146.1
Ott.20;245H000000490;-3446.97
Ott.20;245A000000492;-6496.26
Ott.20;24JM000000039;14743.46
Nov.20;24JM000000039;6344.0
Nov.20;24A4000000010;-227.91042077276578
Nov.20;24JM000000050;3958.1442064234143
Nov.20;245A000000490;-26914.44
Nov.20;24JM000000500;5180.51
Nov.20;245C000000640;-1056.1702620298684
Nov.20;245C000000490;-1804.94
Nov.20;245B000000490;-31181.97
Nov.20;2488000000611;10769.522677914756
Nov.20;245F000000634;-185807.08
Nov.20;24A0000000017;-5036.581464625807
Nov.20;245F000000611;32104.866061718818
Nov.20;245F000002930;-1231.45
Nov.20;245H000000490;-4459.45
Nov.20;245B000000491;-5512.682059689892
Nov.20;2488000000640;-2515.1455083977557
Nov.20;245B000000611;-1890.6405955551008
Nov.20;2455000000490;-1075.7818963358445
Nov.20;245D000000640;-110.29
Nov.20;2488000002930;-559.5987265631582
Nov.20;24JM000000490;-5180.51
Nov.20;245B000000636;-48.8
Nov.20;245A000000492;-6344.0
Nov.20;245B000000640;-783.4451264156955
Nov.20;2488000000544;-43253.97
Nov.20;245E000000490;-183.0
Nov.20;245A000000491;-6738.922905882598
Nov.20;245A000000493;-7298.282354090336
Nov.20;245F000000640;9645.0837866406
Dic.20;245F000002930;-11250.89
Dic.20;2488000000544;-20536.46
Dic.20;245E000000490;-244.0
Dic.20;245B000000636;-244.0
Dic.20;24JM000000050;4000.3215063680723
Dic.20;245B000000611;-1927.776916070741
Dic.20;2488000000611;11228.86369847797
Dic.20;2488000002930;-535.6580247400551
Dic.20;245A000000491;-8247.2
Dic.20;245C000000490;-7242.64
Dic.20;245C000000640;-1054.6861004164175
Dic.20;245B000000490;-61076.98
Dic.20;24JM000000490;-14402.15
Dic.20;2488000000640;-2497.299534620391
Dic.20;245A000000493;-7577.922623919574
Dic.20;24JM000000039;9733.89584098949
Dic.20;24JM000000500;14402.15
Dic.20;24A4000000010;-226.190293683583
Dic.20;2455000000490;-1091.2421015030827
Dic.20;245F000000611;62123.6
Dic.20;245B000000640;476.77
Dic.20;245H000000490;-16310.67
Dic.20;245A000000492;-8015.4795566813045
Dic.20;245F000000640;10151.516632872615
Dic.20;24A0000000017;-4994.117716044424
Dic.20;245B000000491;-1776.32
Dic.20;245A000000490;-13403.18
Dic.20;245F000000634;-770862.57
Dic.20;245D000000640;-2863.9646171477575
Gen.21;245E000000490;-17166.508127623994
Gen.21;2488000000640;-2493.3689175545637
Gen.21;245H000000490;-3505.57
Gen.21;245F000002930;-8514.65970985045
Gen.21;24JM000000490;-83458.6
Gen.21;2488000002930;-530.3850868649635
Gen.21;245C000000640;-1054.3592103828978
Gen.21;245F000000640;10263.059640441186
Gen.21;245C000000490;-393.4
Gen.21;245B000000491;-5934.027465875723
Gen.21;2488000000611;11372.046506235425
Gen.21;24A0000000017;-4984.76497704933
Gen.21;245B000000636;-1065.51
Gen.21;245F000000611;63586.130606049795
Gen.21;245F000000634;-26560.16
Gen.21;24JM000000039;6299.638311373346
Gen.21;245A000000490;-6014.11
Gen.21;24JM000000050;4002.606273124001
Gen.21;245A000000492;-8340.152483511416
Gen.21;2455000000490;-1094.642534330729
Gen.21;24A4000000010;-565.19
Gen.21;245A000000491;-8498.250507253553
Gen.21;245B000000640;-665.6762817787287
Gen.21;245B000000490;-2431.6
Gen.21;2488000000544;-16918.42
Gen.21;245A000000493;-7780.250069822292
