ECO_GRP_0;ECO_GRP_1;DRV_COD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;10Y ITA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;10Y USA
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Brent
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Consumi privati - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Consumi privati - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Consumi privati - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Consumi privati - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Consumi privati - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Consumi privati - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Consumi privati - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Consumi privati - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Consumi privati - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Consumi privati - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Consumi privati - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Consumi privati - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Consumi privati - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Consumi privati - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Consumi privati - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Consumi privati - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Consumi privati - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Consumi privati - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Consumi privati - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Consumi privati - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Consumi privati - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Consumi privati - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Consumi privati - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Consumi privati - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Euribor 3M
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Euribor 3M
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Euribor 3M
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Euribor 3M
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Euribor 3M
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Euribor 3M
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Euribor 3M
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Euribor 3M
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Eurostoxx 50
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Eurostoxx 50
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Eurostoxx 50
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Eurostoxx 50
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Eurostoxx 50
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Eurostoxx 50
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Eurostoxx 50
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Eurostoxx 50
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;EURUSD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;EURUSD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;EURUSD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;EURUSD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;EURUSD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;EURUSD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;EURUSD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;EURUSD
